path,dataset_type,defect_type,label,round,split
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10021_png.rf.d12cc7068346429ba6b57fd54e1b1b29_orig.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10021_png.rf.d12cc7068346429ba6b57fd54e1b1b29_v3_aug1.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10021_png.rf.d12cc7068346429ba6b57fd54e1b1b29_v3_aug2.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10021_png.rf.d12cc7068346429ba6b57fd54e1b1b29_v3_aug3.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10028_png.rf.36a38d097d1d7400b6fe6d7d71fa344c_orig.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10028_png.rf.36a38d097d1d7400b6fe6d7d71fa344c_v3_aug1.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10028_png.rf.36a38d097d1d7400b6fe6d7d71fa344c_v3_aug2.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10028_png.rf.36a38d097d1d7400b6fe6d7d71fa344c_v3_aug4.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10028_png.rf.36a38d097d1d7400b6fe6d7d71fa344c_v3_aug5.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10047_png.rf.e0d73658d7348d58bc3ba0ad2e82944f_orig.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10047_png.rf.e0d73658d7348d58bc3ba0ad2e82944f_v3_aug1.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10047_png.rf.e0d73658d7348d58bc3ba0ad2e82944f_v3_aug2.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10047_png.rf.e0d73658d7348d58bc3ba0ad2e82944f_v3_aug3.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10047_png.rf.e0d73658d7348d58bc3ba0ad2e82944f_v3_aug4.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10057_png.rf.746029d2c223952e50be5b77fbe92eb7_orig.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10057_png.rf.746029d2c223952e50be5b77fbe92eb7_v3_aug2.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10057_png.rf.746029d2c223952e50be5b77fbe92eb7_v3_aug3.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
/Users/danghyeonsong/HYUE/SWCapstone/data/split_versions/v3/pretrain/anomaly/10057_png.rf.746029d2c223952e50be5b77fbe92eb7_v3_aug4.jpg,Kolektor,surface_defect,anomaly,v3,v3_pool
