path,dataset_type,defect_type,label,round,split
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20313_png.rf.0e3480079b4d1ee324e43aaeb6a017c9.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11186_png.rf.b823573c82624f5627380cb4949d3958.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20559_png.rf.d4b96cff1161dbf1eb2a8a547e8b468e.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11966_png.rf.9075b40699b02e0d648b944516eff6d9.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11974_png.rf.2025bddc91c760a10976050613c05743.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10432_png.rf.40e4a86609a86c4bd1946f40e5686eb5.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10283_png.rf.761db14f9bf31055e69e76426b328b1b.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20054_png.rf.e68a0779f3819f5bdf3838c76dbaf872.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11309_png.rf.d5f801fa0de2dd6c9eb3dca7570cdf70.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/12236_png.rf.f0e1e88b31f2776de9d19a904a31ae72.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/20897_png.rf.f6567056e19023a34cbf8b24692c1779.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10546_png.rf.326529a3ad00c12e89a6985b1e819cb8.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/MVTec/defect_type/grid/normal/052.png,MVTec,grid,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/11346_png.rf.8ba5bf751cfcb3503f7b51e654a6f210.jpg,Kolektor,surface_defect,normal,3,train_normal
/app/data/dataset_type/Kolektor/defect_type/surface_defect/normal/10008_png.rf.3790624de020a1cce33297b9c647def0.jpg,Kolektor,surface_defect,normal,3,train_normal
